"Seed_Diff","pct","m","m2"
"1",0.486486486486487,"Basic Model","Basic Model"
"2",0.785714285714286,"Basic Model","Basic Model"
"3",0.808080808080808,"Basic Model","Basic Model"
"4",0.883333333333333,"Basic Model","Basic Model"
"5 or more",0.914893617021277,"Basic Model","Basic Model"
"1",0.464285714285714,"Four Factor","KNN"
"1",0.470588235294118,"Four Factor","RFC"
"1",0.490196078431373,"Four Factor","SVC"
"1",0.528571428571429,"Pythagorean Win %","KNN"
"1",0.513157894736842,"Pythagorean Win %","RFC"
"1",0.5,"Pythagorean Win %","SVC"
"2",0.761904761904762,"Four Factor","KNN"
"2",0.833333333333333,"Four Factor","RFC"
"2",0.75,"Four Factor","SVC"
"2",0.761904761904762,"Pythagorean Win %","KNN"
"2",0.789473684210526,"Pythagorean Win %","RFC"
"2",0.857142857142857,"Pythagorean Win %","SVC"
"3",0.779220779220779,"Four Factor","KNN"
"3",0.789473684210526,"Four Factor","RFC"
"3",0.788461538461538,"Four Factor","SVC"
"3",0.805970149253731,"Pythagorean Win %","KNN"
"3",0.8,"Pythagorean Win %","RFC"
"3",0.847826086956522,"Pythagorean Win %","SVC"
"4",0.91304347826087,"Four Factor","KNN"
"4",0.891891891891892,"Four Factor","RFC"
"4",0.928571428571429,"Four Factor","SVC"
"4",0.926829268292683,"Pythagorean Win %","KNN"
"4",0.909090909090909,"Pythagorean Win %","RFC"
"4",0.966666666666667,"Pythagorean Win %","SVC"
"5 or more",0.90990990990991,"Four Factor","KNN"
"5 or more",0.914285714285714,"Four Factor","RFC"
"5 or more",0.96,"Four Factor","SVC"
"5 or more",0.917431192660551,"Pythagorean Win %","KNN"
"5 or more",0.908256880733945,"Pythagorean Win %","RFC"
"5 or more",0.91304347826087,"Pythagorean Win %","SVC"
